,x,y,r
0,2.492,2.1998,0.325
1,2.4818,2.1925,0.325
2,2.4682,2.1775,0.325
3,2.4514,2.1545,0.325
4,2.4308,2.1236,0.325
5,2.4063,2.0857,0.325
6,2.3779,2.0418,0.325
7,2.3464,1.9932,0.325
8,2.3116,1.9408,0.325
9,2.2738,1.885,0.325
10,2.2334,1.8268,0.325
11,2.1914,1.7673,0.325
12,2.1477,1.7069,0.325
13,2.1018,1.6457,0.325
14,2.0534,1.5838,0.325
15,2.0019,1.5208,0.325
16,1.9457,1.4568,0.325
17,1.8851,1.3916,0.325
18,1.8204,1.3226,0.325
19,1.751,1.2506,0.325
20,1.679,1.1737,0.325
21,1.6067,1.0913,0.325
22,1.5357,1.0035,0.325
23,1.4668,0.91098,0.325
24,1.4006,0.81437,0.325
25,1.3373,0.71405,0.325
26,1.2767,0.61039,0.325
27,1.2184,0.50357,0.325
28,1.1619,0.39439,0.325
29,1.1066,0.28313,0.325
30,1.0514,0.17074,0.325
31,0.99571,0.058269,0.325
32,0.93889,-0.053286,0.325
33,0.8799,-0.1633,0.325
34,0.81756,-0.27015,0.325
35,0.75095,-0.37287,0.325
36,0.67945,-0.47054,0.325
37,0.60382,-0.56274,0.325
38,0.52712,-0.65295,0.325
39,0.44635,-0.73873,0.325
40,0.35991,-0.81904,0.325
41,0.26829,-0.89379,0.325
42,0.17197,-0.96346,0.325
43,0.071415,-1.0294,0.325
44,-0.032322,-1.0924,0.325
45,-0.1385,-1.1538,0.325
46,-0.24666,-1.214,0.325
47,-0.35617,-1.2739,0.325
48,-0.46553,-1.3335,0.325
49,-0.57425,-1.3926,0.325
50,-0.68247,-1.4519,0.325
51,-0.79022,-1.512,0.325
52,-0.89705,-1.5732,0.325
53,-1.0026,-1.6356,0.325
54,-1.107,-1.6998,0.325
55,-1.2105,-1.7657,0.325
56,-1.3128,-1.8333,0.325
57,-1.414,-1.9025,0.325
58,-1.5147,-1.9724,0.325
59,-1.6146,-2.0429,0.325
60,-1.7143,-2.1141,0.325
61,-1.814,-2.1853,0.325
62,-1.9135,-2.2561,0.325
